# Apache Access Log - Sample with Attack Patterns
# Generated for Security Log Analyzer Demo
192.168.1.50 - - [15/Jan/2024:08:23:45 -0500] "GET /index.html HTTP/1.1" 200 2326 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
185.220.101.45 - - [15/Jan/2024:11:45:40 -0500] "GET /static/..%252f..%252f..%252fetc/passwd HTTP/1.1" 200 1256 "-" "curl/7.68.0"
185.220.101.45 - - [15/Jan/2024:11:45:42 -0500] "GET /files?name=../../../.ssh/id_rsa HTTP/1.1" 403 64 "-" "curl/7.68.0"
185.220.101.45 - - [15/Jan/2024:11:45:45 -0500] "GET /download?file=/var/log/auth.log HTTP/1.1" 403 64 "-" "curl/7.68.0"
# Normal Traffic
192.168.1.55 - alice [15/Jan/2024:12:00:00 -0500] "GET /dashboard HTTP/1.1" 200 4096 "-" "Mozilla/5.0 (Windows NT 10.0)"
192.168.1.55 - alice [15/Jan/2024:12:01:15 -0500] "GET /reports/sales HTTP/1.1" 200 8192 "-" "Mozilla/5.0 (Windows NT 10.0)"
192.168.1.56 - bob [15/Jan/2024:12:05:22 -0500] "GET /api/inventory HTTP/1.1" 200 16384 "-" "Mozilla/5.0 (Macintosh)"
192.168.1.57 - - [15/Jan/2024:12:10:33 -0500] "GET /products HTTP/1.1" 200 2048 "-" "Mozilla/5.0 (iPhone)"
192.168.1.58 - admin [15/Jan/2024:12:15:44 -0500] "POST /admin/settings HTTP/1.1" 200 256 "-" "Mozilla/5.0 (Windows NT 10.0)"
# More Brute Force - Different IP targeting admin
91.121.45.67 - - [15/Jan/2024:14:00:01 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:02 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:03 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:04 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:05 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:06 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:07 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:08 -0500] "POST /admin/login HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
91.121.45.67 - - [15/Jan/2024:14:00:09 -0500] "POST /admin/login HTTP/1.1" 200 512 "-" "python-requests/2.28.0"
# Credential Stuffing - Same IP, Multiple Users
77.88.55.66 - - [15/Jan/2024:15:30:00 -0500] "POST /login?user=john HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:01 -0500] "POST /login?user=jane HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:02 -0500] "POST /login?user=admin HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:03 -0500] "POST /login?user=root HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:04 -0500] "POST /login?user=administrator HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:05 -0500] "POST /login?user=test HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:06 -0500] "POST /login?user=guest HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
77.88.55.66 - - [15/Jan/2024:15:30:07 -0500] "POST /login?user=user HTTP/1.1" 401 64 "-" "python-requests/2.28.0"
# Late Night Access (Unusual Time)
192.168.1.60 - admin [15/Jan/2024:03:15:22 -0500] "GET /admin/export-database HTTP/1.1" 200 1048576 "-" "Mozilla/5.0"
192.168.1.60 - admin [15/Jan/2024:03:18:45 -0500] "GET /admin/user-list HTTP/1.1" 200 8192 "-" "Mozilla/5.0"
192.168.1.60 - admin [15/Jan/2024:03:22:11 -0500] "POST /admin/create-user HTTP/1.1" 200 256 "-" "Mozilla/5.0"
# End of sample log
